Time,Joint_angle,chamber_1_pressure_bar,chamber_2_pressure_bar
18:05:11,25.874,0.325,0.017
18:05:11,25.65,0.364,0.017
18:05:11,25.526,0.394,0.017
18:05:11,25.455,0.335,0.017
18:05:11,25.927,0.355,0.017
18:05:11,26.548,0.305,0.017
18:05:11,26.9,0.295,0.017
18:05:12,27.11,0.305,0.017
18:05:12,27.226,0.355,0.017
18:05:12,26.915,0.315,0.017
18:05:12,27.112,0.295,0.017
18:05:12,27.225,0.335,0.017
18:05:12,27.29,0.305,0.017
18:05:12,27.327,0.315,0.017
18:05:12,27.348,0.345,0.017
18:05:12,27.359,0.364,0.017
18:05:12,26.869,0.305,0.017
18:05:13,27.091,0.364,0.017
18:05:13,26.848,0.295,0.017
18:05:13,27.079,0.285,0.017
18:05:13,27.206,0.325,0.017
18:05:13,27.278,0.285,0.017
18:05:13,27.32,0.285,0.017
18:05:13,26.856,0.295,0.017
18:05:13,26.215,0.295,0.017
18:05:13,25.841,0.355,0.017
18:05:14,25.63,0.355,0.017
18:05:14,25.516,0.394,0.017
18:05:14,25.45,0.374,0.017
18:05:14,25.413,0.355,0.017
18:05:14,26.274,0.374,0.017
18:05:14,26.76,0.305,0.017
18:05:14,27.029,0.305,0.017
18:05:14,27.177,0.315,0.017
18:05:14,26.774,0.285,0.017
18:05:14,27.037,0.345,0.017
18:05:15,27.186,0.325,0.017
18:05:15,26.756,0.335,0.017
18:05:15,27.023,0.285,0.017
18:05:15,27.173,0.295,0.017
18:05:15,26.748,0.325,0.017
18:05:15,27.025,0.325,0.017
18:05:15,26.296,0.295,0.017
18:05:15,26.38,0.345,0.017
18:05:15,25.944,0.384,0.017
18:05:15,25.687,0.355,0.017
18:05:16,26.058,0.424,0.017
18:05:16,26.635,0.444,0.017
18:05:16,26.955,0.454,0.017
18:05:16,27.134,0.454,0.017
18:05:16,27.707,0.454,0.017
18:05:16,28.413,0.464,0.017
18:05:16,28.808,0.394,0.017
18:05:16,29.027,0.414,0.017
18:05:16,29.15,0.444,0.017
18:05:16,29.22,0.454,0.017
18:05:17,29.262,0.404,0.017
18:05:17,29.284,0.434,0.017
18:05:17,29.297,0.434,0.017
18:05:17,29.305,0.374,0.017
18:05:17,29.309,0.414,0.017
18:05:17,29.311,0.434,0.017
18:05:17,29.312,0.394,0.017
18:05:17,29.313,0.434,0.017
18:05:17,30.035,0.424,0.017
18:05:18,30.124,0.364,0.017
18:05:18,30.083,0.364,0.017
18:05:18,30.165,0.374,0.017
18:05:18,30.208,0.424,0.017
18:05:18,30.537,0.364,0.017
18:05:18,30.313,0.374,0.017
18:05:18,30.596,0.384,0.017
18:05:18,30.756,0.394,0.017
18:05:18,30.844,0.355,0.017
18:05:18,30.894,0.364,0.017
18:05:19,30.523,0.404,0.017
18:05:19,30.708,0.414,0.017
18:05:19,30.815,0.345,0.017
18:05:19,30.459,0.394,0.017
18:05:19,30.673,0.414,0.017
18:05:19,30.072,0.355,0.017
18:05:19,30.461,0.374,0.017
18:05:19,30.276,0.355,0.017
18:05:19,30.17,0.355,0.017
18:05:19,30.516,0.384,0.017
18:05:20,30.292,0.384,0.017
18:05:20,30.179,0.335,0.017
18:05:20,30.513,0.364,0.017
18:05:20,30.708,0.345,0.017
18:05:20,30.818,0.394,0.017
18:05:20,30.879,0.335,0.017
18:05:20,30.913,0.374,0.017
18:05:20,30.932,0.394,0.017
18:05:20,30.943,0.335,0.017
18:05:20,30.524,0.394,0.017
18:05:21,30.311,0.364,0.017
18:05:21,30.587,0.355,0.017
18:05:21,30.751,0.374,0.017
18:05:21,30.422,0.355,0.017
18:05:21,30.654,0.394,0.017
18:05:21,30.385,0.414,0.017
18:05:21,30.636,0.355,0.017
18:05:21,30.778,0.384,0.017
18:05:21,30.457,0.404,0.017
18:05:22,30.266,0.404,0.017
18:05:22,30.151,0.325,0.017
18:05:22,30.19,0.355,0.017
18:05:22,30.529,0.384,0.017
18:05:22,30.717,0.384,0.017
18:05:22,30.82,0.394,0.017
18:05:22,30.572,0.424,0.017
18:05:22,30.322,0.355,0.017
18:05:22,30.603,0.394,0.017
18:05:22,30.755,0.345,0.017
18:05:23,30.842,0.345,0.017
18:05:23,30.474,0.384,0.017
18:05:23,30.681,0.345,0.017
18:05:23,30.803,0.414,0.017
18:05:23,30.871,0.374,0.017
18:05:23,30.909,0.394,0.017
18:05:23,30.224,0.345,0.017
18:05:23,30.232,0.364,0.017
18:05:23,30.544,0.404,0.017
18:05:23,30.306,0.345,0.017
18:05:24,30.594,0.404,0.017
18:05:24,30.75,0.364,0.017
18:05:24,30.839,0.335,0.017
18:05:24,30.891,0.404,0.017
18:05:24,30.92,0.384,0.017
18:05:24,30.936,0.394,0.017
18:05:24,30.946,0.335,0.017
18:05:24,30.644,0.364,0.017
18:05:24,30.778,0.394,0.017
18:05:25,30.555,0.355,0.017
18:05:25,30.733,0.364,0.017
18:05:25,30.11,0.394,0.017
18:05:25,29.766,0.424,0.017
18:05:25,30.289,0.364,0.017
18:05:25,30.584,0.374,0.017
