Time,J0_Ang,J0_fP1,J0_fP2,J1_Ang,J1_fP1,J1_fP2,J2_Ang,J2_fP1,J2_fP2,EE_P1
18:06:29,36.498,0.275,0.047,39.106,0.454,0.067,32.634,0.484,0.017,0
18:06:29,36.498,0.275,0.047,39.106,0.464,0.067,32.62,0.503,0.017,0
18:06:29,36.498,0.275,0.047,39.106,0.394,0.067,33.031,0.434,0.017,0
18:06:29,36.498,0.305,0.047,39.106,0.404,0.067,33.149,0.444,0.017,0
18:06:29,36.498,0.275,0.047,39.106,0.434,0.067,33.619,0.464,0.017,0
18:06:29,36.498,0.275,0.047,39.106,0.454,0.067,33.185,0.484,0.017,0
18:06:29,36.498,0.275,0.047,39.106,0.404,0.067,33.653,0.484,0.017,0
18:06:29,36.498,0.275,0.047,39.106,0.394,0.067,33.905,0.434,0.017,0
18:06:30,36.498,0.275,0.047,39.106,0.414,0.067,33.748,0.434,0.017,0
18:06:30,36.498,0.275,0.047,39.106,0.434,0.067,33.961,0.444,0.017,0
18:06:30,36.498,0.265,0.047,39.106,0.454,0.067,33.381,0.464,0.017,0
18:06:30,36.498,0.295,0.047,39.106,0.464,0.067,33.749,0.484,0.017,0
18:06:30,36.498,0.275,0.047,39.106,0.444,0.067,33.962,0.503,0.017,0
18:06:30,36.498,0.265,0.047,39.106,0.434,0.067,33.78,0.503,0.017,0
18:06:30,36.498,0.285,0.047,39.106,0.414,0.067,33.676,0.493,0.017,0
18:06:30,36.498,0.265,0.047,39.106,0.424,0.067,33.92,0.434,0.017,0
18:06:30,36.498,0.265,0.047,39.106,0.444,0.067,33.756,0.444,0.017,0
18:06:30,36.498,0.265,0.047,39.106,0.394,0.067,33.964,0.464,0.017,0
18:06:31,36.498,0.275,0.047,39.106,0.404,0.067,33.379,0.424,0.017,0
18:06:31,36.498,0.265,0.047,39.106,0.414,0.067,33.037,0.493,0.017,0
18:06:31,36.498,0.285,0.047,39.106,0.424,0.067,32.85,0.484,0.017,0
18:06:31,36.498,0.275,0.047,39.106,0.464,0.067,33.16,0.474,0.017,0
18:06:31,36.498,0.265,0.047,39.106,0.454,0.067,33.223,0.493,0.017,0
18:06:31,36.498,0.275,0.047,39.106,0.414,0.067,32.948,0.434,0.017,0
18:06:31,36.498,0.295,0.047,39.106,0.434,0.067,33.102,0.444,0.017,0
18:06:31,36.498,0.285,0.047,39.106,0.454,0.067,33.187,0.454,0.017,0
18:06:31,36.498,0.285,0.047,39.106,0.394,0.067,33.349,0.464,0.017,0
18:06:32,36.498,0.285,0.047,39.106,0.404,0.067,33.03,0.484,0.017,0
18:06:32,36.498,0.275,0.047,39.106,0.414,0.067,32.846,0.434,0.017,0
18:06:32,36.498,0.275,0.047,39.106,0.424,0.067,33.459,0.503,0.017,0
18:06:32,36.498,0.285,0.047,39.106,0.444,0.067,33.496,0.484,0.017,0
18:06:32,36.498,0.275,0.047,39.106,0.394,0.067,33.115,0.464,0.017,0
18:06:32,36.498,0.295,0.047,39.106,0.404,0.067,32.896,0.474,0.017,0
18:06:32,36.498,0.275,0.047,39.106,0.454,0.067,32.768,0.444,0.017,0
18:06:32,36.498,0.275,0.047,39.106,0.464,0.067,32.697,0.474,0.017,0
18:06:32,36.498,0.275,0.047,39.106,0.464,0.067,32.656,0.523,0.017,0
18:06:32,36.498,0.275,0.047,39.106,0.444,0.067,33.038,0.563,0.017,0
18:06:33,36.498,0.285,0.047,39.106,0.424,0.067,33.552,0.583,0.017,0
18:06:33,36.498,0.275,0.047,39.106,0.434,0.067,33.854,0.632,0.017,0
18:06:33,36.498,0.265,0.047,39.106,0.434,0.067,34.026,0.613,0.017,0
18:06:33,36.498,0.265,0.047,39.106,0.454,0.067,34.497,0.563,0.017,0
18:06:33,36.498,0.265,0.047,39.106,0.454,0.067,34.388,0.583,0.017,0
18:06:33,36.498,0.265,0.047,39.106,0.434,0.067,34.684,0.603,0.017,0
18:06:33,36.498,0.265,0.047,39.106,0.414,0.067,34.853,0.613,0.017,0
18:06:33,36.498,0.285,0.047,39.106,0.424,0.067,35.224,0.623,0.017,0
18:06:33,36.498,0.265,0.047,39.106,0.444,0.067,35.434,0.632,0.017,0
18:06:33,36.498,0.265,0.047,39.106,0.394,0.067,35.554,0.632,0.017,0
18:06:34,36.498,0.265,0.047,39.106,0.404,0.067,35.623,0.613,0.017,0
18:06:34,36.498,0.275,0.047,39.106,0.424,0.067,35.663,0.613,0.017,0
18:06:34,36.498,0.285,0.047,39.106,0.444,0.067,35.685,0.623,0.017,0
18:06:34,36.498,0.275,0.047,39.106,0.464,0.067,35.699,0.632,0.017,0
18:06:34,36.498,0.275,0.047,39.106,0.454,0.067,35.706,0.563,0.017,0
18:06:34,36.498,0.275,0.047,39.106,0.434,0.067,35.71,0.583,0.017,0
18:06:34,36.498,0.275,0.047,39.106,0.434,0.067,35.713,0.603,0.017,0
18:06:34,36.498,0.265,0.047,39.106,0.414,0.067,35.714,0.613,0.017,0
18:06:34,36.498,0.265,0.047,39.106,0.444,0.067,35.715,0.623,0.017,0
18:06:34,36.498,0.275,0.047,39.106,0.464,0.067,35.715,0.553,0.017,0
18:06:35,36.498,0.275,0.047,39.106,0.444,0.067,35.97,0.573,0.017,0
18:06:35,36.498,0.265,0.047,39.106,0.414,0.067,35.861,0.593,0.017,0
18:06:35,36.498,0.265,0.047,39.106,0.454,0.067,35.797,0.613,0.017,0
18:06:35,36.498,0.265,0.047,39.106,0.464,0.067,35.762,0.642,0.017,0
18:06:35,36.498,0.275,0.047,39.106,0.394,0.067,35.742,0.632,0.017,0
18:06:35,36.498,0.265,0.047,39.106,0.424,0.067,35.73,0.583,0.017,0
18:06:35,36.498,0.275,0.047,39.106,0.454,0.067,35.724,0.603,0.017,0
18:06:35,36.498,0.265,0.047,39.106,0.404,0.067,35.72,0.623,0.017,0
18:06:35,36.498,0.265,0.047,39.106,0.394,0.067,35.718,0.632,0.017,0
18:06:35,36.498,0.265,0.047,39.106,0.434,0.067,35.972,0.573,0.017,0
18:06:36,36.498,0.275,0.047,39.106,0.404,0.067,36.456,0.593,0.017,0
18:06:36,36.498,0.275,0.047,39.106,0.464,0.067,36.131,0.583,0.017,0
18:06:36,36.498,0.275,0.047,39.106,0.454,0.067,36.544,0.593,0.017,0
18:06:36,36.498,0.265,0.047,39.106,0.404,0.067,36.531,0.603,0.017,0
18:06:36,36.498,0.265,0.047,39.106,0.424,0.067,36.774,0.573,0.017,0
18:06:36,36.498,0.265,0.047,39.106,0.454,0.067,36.913,0.553,0.017,0
18:06:36,36.498,0.275,0.047,39.106,0.464,0.067,36.993,0.573,0.017,0
18:06:36,36.498,0.275,0.047,39.106,0.454,0.067,37.039,0.603,0.017,0
18:06:36,36.498,0.275,0.047,39.106,0.434,0.067,37.065,0.523,0.017,0
18:06:36,36.498,0.275,0.047,39.106,0.434,0.067,37.08,0.543,0.017,0
18:06:37,36.498,0.275,0.047,39.106,0.414,0.067,37.089,0.563,0.017,0
18:06:37,36.498,0.265,0.047,39.106,0.434,0.067,37.093,0.583,0.017,0
18:06:37,36.498,0.275,0.047,39.106,0.464,0.067,37.096,0.593,0.017,0
18:06:37,36.498,0.275,0.047,39.106,0.434,0.067,37.098,0.523,0.017,0
18:06:37,36.498,0.275,0.047,39.106,0.424,0.067,37.099,0.533,0.017,0
18:06:37,36.498,0.275,0.047,39.106,0.414,0.067,37.099,0.563,0.017,0
18:06:37,36.498,0.265,0.047,39.106,0.464,0.067,37.1,0.573,0.017,0
18:06:37,36.498,0.265,0.047,39.106,0.464,0.067,37.1,0.533,0.017,0
18:06:37,36.498,0.265,0.047,39.106,0.404,0.067,37.1,0.603,0.017,0
18:06:38,36.498,0.265,0.047,39.106,0.424,0.067,37.1,0.593,0.017,0
18:06:38,36.498,0.265,0.047,39.106,0.454,0.067,37.1,0.553,0.017,0
18:06:38,36.498,0.305,0.047,39.106,0.404,0.067,37.1,0.583,0.017,0
18:06:38,36.498,0.265,0.047,39.106,0.404,0.067,37.1,0.593,0.017,0
18:06:38,36.498,0.275,0.047,39.106,0.414,0.067,37.1,0.593,0.017,0
18:06:38,36.498,0.265,0.047,39.106,0.424,0.067,37.1,0.593,0.017,0
18:06:38,36.498,0.265,0.047,39.106,0.454,0.067,37.1,0.583,0.017,0
18:06:38,36.498,0.265,0.047,39.106,0.454,0.067,37.1,0.553,0.017,0
18:06:38,36.498,0.265,0.047,39.106,0.454,0.067,37.1,0.573,0.017,0
18:06:38,36.498,0.275,0.047,39.106,0.434,0.067,37.1,0.583,0.017,0
18:06:39,36.498,0.265,0.047,39.106,0.434,0.067,37.1,0.523,0.017,0
18:06:39,36.498,0.265,0.047,39.106,0.414,0.067,37.1,0.533,0.017,0
18:06:39,36.498,0.265,0.047,39.106,0.434,0.067,37.1,0.553,0.017,0
18:06:39,36.498,0.265,0.047,39.106,0.454,0.067,37.1,0.573,0.017,0
18:06:39,36.498,0.265,0.047,39.106,0.454,0.067,37.1,0.583,0.017,0
18:06:39,36.498,0.275,0.047,39.106,0.414,0.067,37.1,0.593,0.017,0
18:06:39,36.498,0.265,0.047,39.106,0.434,0.067,37.1,0.603,0.017,0
18:06:39,36.498,0.275,0.047,39.106,0.424,0.067,37.1,0.543,0.017,0
18:06:39,36.498,0.265,0.047,39.106,0.454,0.067,37.1,0.553,0.017,0
18:06:39,36.498,0.265,0.047,39.106,0.444,0.067,37.1,0.573,0.017,0
18:06:40,36.498,0.265,0.047,39.106,0.434,0.067,37.1,0.583,0.017,0
18:06:40,36.498,0.265,0.047,39.106,0.424,0.067,37.1,0.523,0.017,0
18:06:40,36.498,0.265,0.047,39.106,0.414,0.067,37.1,0.533,0.017,0
